sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=46	elapsed_ms=0.006112
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=47	elapsed_ms=0.006021
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=48	elapsed_ms=0.005992
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=49	elapsed_ms=0.005991
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=50	elapsed_ms=0.006021
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=51	elapsed_ms=0.006011
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=52	elapsed_ms=0.006022
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=53	elapsed_ms=0.006184
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=54	elapsed_ms=0.006061
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=55	elapsed_ms=0.006171
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=56	elapsed_ms=0.006061
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=57	elapsed_ms=0.006041
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=58	elapsed_ms=0.006030
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=59	elapsed_ms=0.006052
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=60	elapsed_ms=0.006112
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=61	elapsed_ms=0.006142
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=62	elapsed_ms=0.006131
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=63	elapsed_ms=0.006141
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=64	elapsed_ms=0.005992
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=65	elapsed_ms=0.006071
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=66	elapsed_ms=0.006182
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=67	elapsed_ms=0.006162
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=68	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=69	elapsed_ms=0.005981
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=70	elapsed_ms=0.005960
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=71	elapsed_ms=0.005990
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=72	elapsed_ms=0.006091
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=73	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=74	elapsed_ms=0.005981
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=75	elapsed_ms=0.006051
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=76	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=77	elapsed_ms=0.006041
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=78	elapsed_ms=0.005982
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=79	elapsed_ms=0.005981
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=80	elapsed_ms=0.006042
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=81	elapsed_ms=0.006152
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=82	elapsed_ms=0.006031
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=83	elapsed_ms=0.006101
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=84	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=85	elapsed_ms=0.006052
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=86	elapsed_ms=0.006102
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=87	elapsed_ms=0.006092
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=88	elapsed_ms=0.006132
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=89	elapsed_ms=0.006092
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=90	elapsed_ms=0.006021
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=91	elapsed_ms=0.022172
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=92	elapsed_ms=0.006212
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=93	elapsed_ms=0.006081
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=94	elapsed_ms=0.006081
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=95	elapsed_ms=0.006171
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=96	elapsed_ms=0.006152
