backend,operation,pk,n,geometry,samples,wall_p50_ns,wall_p95_ns,cpu_p50_ns,cpu_p95_ns,rss_max_kb,read_objects_p50,read_bytes_p50,writes_p50,write_bytes_p50,object_bytes_p50,settled_bytes_p50
model,hash_diff_1pct,uuid,10000,crit_bit,20,8144809,8274428,8145000,8273000,76668,4352,810780,0,0,3760753,0
model,hash_diff_1pct,uuid,50000,c2_slotted,20,98952614,101620029,98938000,101621000,193076,10292,12515462,0,0,5547342,0
model,hash_diff_1pct,uuid,50000,crit_bit,20,43518530,45880387,43518000,45881000,329648,22180,4131070,0,0,18786825,0
model,hash_diff_1pct,uuid,100000,c2_slotted,20,203190229,209616576,203127000,209569000,373004,20778,25175766,0,0,11101162,0
model,hash_diff_1pct,uuid,100000,crit_bit,20,89411287,97664786,89395000,97621000,646628,44666,8316788,0,0,37549580,0
model,insert,composite,1000,crit_bit,20,179770,193338,179000,193000,19904,9,2038,10,2242,423637,0
model,insert,composite,10000,crit_bit,20,178539,210469,178000,210000,79324,7,1584,8,1788,4234121,0
model,insert,integer,1000,crit_bit,20,32820,42850,33000,42000,19688,1,137,2,329,326467,0
model,insert,integer,10000,crit_bit,20,57791,63770,58000,62000,75108,1,137,2,326,3268542,0
model,insert,integer,50000,crit_bit,20,66610,80720,65000,78000,320908,1,137,2,330,16344718,0
model,insert,integer,100000,crit_bit,20,71620,85430,70000,84000,628392,1,139,2,332,32859281,0
model,insert,text,1000,crit_bit,20,33300,41709,34000,42000,19772,1,142,2,342,340406,0
model,insert,text,10000,crit_bit,20,56399,64969,56000,64000,75708,1,147,2,343,3422680,0
model,insert,text,50000,crit_bit,20,67699,90049,67000,88000,325220,1,144,2,346,17202961,0
model,insert,text,100000,crit_bit,20,75410,86461,74000,85000,636440,1,145,2,347,34428013,0
model,insert,uuid,1000,crit_bit,20,116369,128949,116000,129000,19624,9,1709,10,1878,376408,0
model,insert,uuid,10000,crit_bit,20,212639,226559,212000,225000,76668,14,2642,15,2827,3761128,0
model,insert,uuid,50000,crit_bit,20,293439,336818,292000,335000,329648,16,3037,17,3209,18787203,0
model,insert,uuid,100000,crit_bit,20,308147,346527,307000,345000,646628,17,3193,18,3413,37549953,0
model,insert_rebuild_model,composite,1000,c2_slotted,20,1651142,1736892,1651000,1737000,17468,0,0,3,3428,117131,0
model,insert_rebuild_model,composite,10000,c2_slotted,20,16125090,16746526,16127000,16747000,52152,0,0,4,4842,1145930,0
model,insert_rebuild_model,composite,50000,c2_slotted,20,84676403,90692125,84655000,90673000,205644,0,0,12,14400,5734573,0
model,insert_rebuild_model,composite,100000,c2_slotted,20,171401889,183770765,171389000,183739000,393272,0,0,6,7720,11468844,0
model,insert_rebuild_model,integer,1000,c2_slotted,20,1382283,1416683,1383000,1417000,17380,0,0,3,2655,94609,0
model,insert_rebuild_model,integer,10000,c2_slotted,20,13501093,14237089,13501000,14237000,49424,0,0,3,1581,942264,0
model,insert_rebuild_model,integer,50000,c2_slotted,20,70347657,72677465,70349000,72679000,190588,0,0,4,1930,4704880,0
model,insert_rebuild_model,integer,100000,c2_slotted,20,140990213,157193591,140946000,157154000,367028,0,0,4,2963,9415426,0
model,insert_rebuild_model,text,1000,c2_slotted,20,1479324,1496432,1479000,1497000,17256,0,0,3,2428,97680,0
model,insert_rebuild_model,text,10000,c2_slotted,20,14493498,15009095,14494000,15009000,49976,0,0,3,1997,970899,0
model,insert_rebuild_model,text,50000,c2_slotted,20,77643250,80408146,77568000,80386000,194964,0,0,4,2585,4852722,0
model,insert_rebuild_model,text,100000,c2_slotted,20,153198569,164757901,153183000,164738000,371520,0,0,4,2807,9702207,0
model,insert_rebuild_model,uuid,1000,c2_slotted,20,1700802,2101529,1702000,2105000,16940,0,0,3,2495,112343,0
model,insert_rebuild_model,uuid,10000,c2_slotted,20,14985675,15863530,14986000,15864000,49692,0,0,3,4524,1113260,0
model,insert_rebuild_model,uuid,50000,c2_slotted,20,77280492,78817854,77264000,78820000,193076,0,0,5,7756,5547410,0
model,insert_rebuild_model,uuid,100000,c2_slotted,20,157592617,165713657,157574000,165652000,373004,0,0,4,6270,11101251,0
model,missing_point,composite,1000,c2_slotted,20,17620,22059,18000,22000,17468,3,3303,0,0,117006,0
model,missing_point,composite,1000,crit_bit,20,30980,31579,31000,32000,19904,13,2878,0,0,423215,0
model,missing_point,composite,10000,c2_slotted,20,25600,26540,26000,27000,52152,4,4780,0,0,1145868,0
model,missing_point,composite,10000,crit_bit,20,40710,46889,41000,47000,79324,14,3084,0,0,4233699,0
model,missing_point,composite,50000,c2_slotted,20,30850,34210,31000,34000,205644,4,4941,0,0,5734258,0
model,missing_point,composite,100000,c2_slotted,20,45749,53110,46000,53000,393272,4,5393,0,0,11468707,0
model,missing_point,integer,1000,c2_slotted,20,14020,14250,14000,15000,17380,3,2587,0,0,94541,0
model,missing_point,integer,1000,crit_bit,20,24450,25880,24000,26000,19688,11,1549,0,0,326138,0
model,missing_point,integer,10000,c2_slotted,20,9971,10490,10000,11000,49424,3,1460,0,0,942143,0
model,missing_point,integer,10000,crit_bit,20,41140,46020,41000,46000,75108,15,2101,0,0,3268216,0
model,missing_point,integer,50000,c2_slotted,20,24160,26049,24000,26000,190588,4,2949,0,0,4704661,0
